mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.2613676190376282,0.02796510125040034,0.014682412147521973,0.004397264224834754,2,2,25,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.2212376594543457,0.01797408759242899,0.019443869590759277,0.007865144238121537,2,2,50,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.42449796199798584,0.024979408992301284,0.030021071434020996,0.004521957438860131,2,2,100,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.10256487131118774,0.008849428966067264,0.009753286838531494,0.000849341858548842,2,4,25,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.1934109330177307,0.014918614043375415,0.017677366733551025,0.0024876887502217116,2,4,50,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.38807857036590576,0.021052305182940965,0.031142234802246094,0.00392781171293889,2,4,100,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.10403066873550415,0.0053207969122064935,0.012552797794342041,0.0022911564883305413,3,2,25,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.1991046667098999,0.0036620160106620027,0.015208005905151367,0.0005358332785276941,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.3680117726325989,0.020404023986835967,0.03967082500457764,0.016423791007719308,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.1094786524772644,0.010732084633332063,0.010304272174835205,0.00021544270972198776,3,4,25,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.19255030155181885,0.006997139991087328,0.019209563732147217,0.007225832077005008,3,4,50,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.3976101875305176,0.023689054269051008,0.027071058750152588,0.0019164522323882806,3,4,100,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.09405654668807983,0.006396743308304915,0.018163442611694336,0.006155807657307058,4,2,25,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.20809906721115112,0.012507751177226502,0.02042520046234131,0.00391744171247989,4,2,50,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.3863464593887329,0.018189101422726117,0.023369193077087402,0.0006063782150643638,4,2,100,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.10478430986404419,0.011530498732225452,0.012195765972137451,0.0029991372797972685,4,4,25,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
